 ,Label,X,Y
1,T.tif,122.000,112.000
2,T.tif,1799.833,112.167
3,T.tif,8220.834,112.167
4,T.tif,9899.833,111.500
5,T.tif,11577.833,112.167
6,T.tif,20734.166,112.833
7,T.tif,23288.166,110.833
8,G.tif,122.000,112.000
9,G.tif,5630.833,112.167
10,G.tif,23288.166,111.500
11,C.tif,122.000,111.000
12,C.tif,742.167,110.833
13,C.tif,851.500,111.500
14,C.tif,1106.833,112.167
15,C.tif,1946.167,110.833
16,C.tif,2821.500,112.167
17,C.tif,2895.500,110.833
18,C.tif,4718.500,112.167
19,C.tif,23288.166,111.500
20,ACT.tif,122.000,198.000
21,ACT.tif,20587.834,198.167
22,ACT.tif,20769.834,198.833
23,ACT.tif,23287.500,198.167
24,A.tif,122.000,111.000
25,A.tif,4025.833,112.833
26,A.tif,4244.500,113.500
27,A.tif,23288.166,110.833
